n	PCC	 	 	 	Lower-tailed	 	 	 	 	 	Upper-tailed	 	 
 	 	0.001	0.0025	0.005	0.01	0.025	0.05	0.05	0.025	0.01	0.005	0.0025	0.001
5	0.0	-1.11763105383	-0.974840110305	-0.858579573569	-0.72439658511	-0.548872063611	-0.405507552128	0.404590142579	0.545099954362	0.720941421706	0.847926604897	0.971218178249	1.1017007945
5	0.05	-1.12870822263	-0.986446492087	-0.865837319817	-0.739680237144	-0.5601737044	-0.417257073477	0.394930480938	0.535379419887	0.715188493284	0.844232587551	0.973715524177	1.13031468121
5	0.1	-1.11953192467	-0.981582938366	-0.866772970067	-0.745605816786	-0.567824101429	-0.425118079785	0.384258599014	0.527492892727	0.703113216375	0.832874905977	0.958561530349	1.09335045895
5	0.15	-1.10301770976	-0.981451746135	-0.87044374509	-0.746248556697	-0.572222456373	-0.432764753965	0.376680524636	0.519351033866	0.708297314205	0.838019365369	0.952670478653	1.09179868613
5	0.2	-1.12147842708	-0.99222995307	-0.881226039972	-0.757765841986	-0.584852613524	-0.445850597895	0.3656554292	0.51075943418	0.694022567767	0.833486959349	0.952963344577	1.08917899435
5	0.25	-1.12340082632	-1.00049764528	-0.882777208365	-0.760795180279	-0.589531389283	-0.453799161801	0.351357043922	0.494136719708	0.684570509961	0.817438686285	0.944588284289	1.08439419375
5	0.3	-1.13195321163	-1.00127022311	-0.889426008357	-0.764763987522	-0.599041916026	-0.460580107103	0.337435151673	0.48470055126	0.67749282943	0.81124824835	0.938977398131	1.09044168876
5	0.35	-1.14403399569	-1.00965728801	-0.904800235737	-0.783860673661	-0.606422525973	-0.468521171511	0.326451384506	0.473328836068	0.667612834719	0.80512171503	0.928659485111	1.08677593054
5	0.4	-1.13922760368	-1.00971936087	-0.90933283392	-0.790183170293	-0.623983757091	-0.484068575971	0.310997020879	0.456432779409	0.656790272709	0.793523369591	0.923942253731	1.07977365272
5	0.45	-1.15743458591	-1.02879071052	-0.91951320905	-0.806211931811	-0.632679824481	-0.492520779146	0.296809156225	0.443968737107	0.644299337206	0.790405820287	0.928376612133	1.08719159831
5	0.5	-1.17322705726	-1.03626099149	-0.931812266231	-0.816120339419	-0.644097349847	-0.50331398784	0.276509433947	0.423475186284	0.62754032793	0.777113180424	0.911433363837	1.076043992
5	0.55	-1.17755558325	-1.04847711544	-0.944239578666	-0.824359370401	-0.653252174016	-0.513188530515	0.257300686257	0.402474098569	0.609182948387	0.759600090585	0.907010424876	1.07624803096
5	0.6	-1.18210789055	-1.05588213844	-0.949728718827	-0.839458966352	-0.668219706099	-0.524631683414	0.236481458255	0.380143641741	0.585014310279	0.742610084696	0.895382200489	1.07002168394
5	0.65	-1.21225322576	-1.08107766957	-0.982234130465	-0.862546789707	-0.687025982181	-0.542881053932	0.212842217034	0.355502980839	0.563269605723	0.722928311255	0.879454136298	1.07419920685
5	0.7	-1.23054227482	-1.10416564191	-0.999465479979	-0.879098251977	-0.702796103883	-0.556282053695	0.185904563257	0.321211223835	0.527459372187	0.681187449914	0.840245547896	1.03193242254
5	0.75	-1.2462720129	-1.1221134633	-1.02557540024	-0.905677922587	-0.724195318543	-0.574297302019	0.157085646471	0.283351162688	0.488094782245	0.658710855314	0.823892559237	1.02253495178
5	0.8	-1.27924334831	-1.15680575244	-1.05420471114	-0.933762451229	-0.752914131975	-0.596855558706	0.120411272173	0.235454856762	0.433896612345	0.591485317313	0.747595530106	0.960422300853
5	0.85	-1.32485697968	-1.20764016676	-1.0913352686	-0.967709104755	-0.781234911833	-0.61861727023	0.0871067831007	0.179476633006	0.357145905453	0.523384896461	0.692610996091	0.920528068437
5	0.9	-1.3666799761	-1.25050159469	-1.1434094994	-1.01757345889	-0.818621569621	-0.64878814012	0.051809778879	0.119446303024	0.264712574642	0.413080072159	0.581448415078	0.839124765061
5	0.95	-1.44368115681	-1.33578439922	-1.21647084501	-1.09012293402	-0.872077245916	-0.686534630541	0.0176191969957	0.0516667087095	0.135683928591	0.23386699534	0.361672780808	0.581307012109
