ID	4433	7662	3774	4630	8496	6847	7499	6590	6972	4410	7761	3773	7540	4112	8096	6777	4679	4422	7547	A4SV	7535	6205	8510	5939	8091	5644	6592	3772	7973	7937	8117	2668	A470	6971	5781	5066	8585	7152	7163	A494	2662	8177	7031	6775	8358	4390	8175	5122	8616	2656	8207	5611	7576	7567	6831	4403	6642	7025	4420	8120	6836	7955	6725	8073	A47A	6211	8172	A479	5774	4405	6969	A46O	7948	7552	7537	5715	5146	8301	7671	4426	6829	5778	6206	7660	7574	4625	4430	8067	2666	6986	3615	4631	4417	A44F	A493	A46S	8087	6597	8204	7661	4249	6215	7728	A5C7	8511	8302	7155	A46P	5147	2657	7153	5931	4382	7979	7815	A47B	7027	4501	7954	8075	A46R	A46V	6985	7542
ALDH6A1	257.4132	256.4528	524.1897	274.5513	549.8768	255.6614	383.9141	210.7989	610.8219	431.2003	210.1781	306.4029	152.5800	441.2570	218.6969	362.8985	350.4806	877.5586	327.2787	495.5323	77.3422	208.7712	246.9829	302.1789	228.0859	62.7764	166.3293	311.7556	637.9504	452.5834	345.2522	206.9219	269.1133	423.6883	128.7267	141.0366	127.6399	318.4773	492.7810	566.1413	255.2114	344.4334	581.5054	236.0222	311.2522	586.9839	171.0539	279.1199	284.4695	550.8340	449.0156	494.0190	362.3824	261.8031	309.7048	250.3809	338.1782	349.6747	266.1294	297.1775	351.7468	369.5730	447.5852	320.5052	248.4391	188.6522	624.9140	320.1022	433.1961	273.3221	145.8307	232.7982	194.8553	476.1065	778.7411	348.2100	294.1673	268.7957	903.0075	393.4376	397.5684	122.0243	875.1479	297.8446	233.5622	195.1000	341.4067	329.1604	487.8240	502.6599	833.1027	162.5862	667.6494	100.0856	114.3849	444.0177	717.6021	71.6305	123.4227	213.5103	325.9104	669.8273	86.7272	1278.8754	409.2901	206.1692	849.2130	120.3985	296.4671	326.4832	966.5059	209.3939	407.0085	366.0394	771.0220	299.8074	220.7122	354.4227	385.6049	250.4328	243.9258	425.2705	313.0746	284.3059
ANKLE1	3.3058	57.1217	9.5801	295.0676	3.8720	40.3941	7.1620	79.3478	5.7078	33.6391	11.3330	82.2199	1.2129	9.2369	12.7858	16.3072	8.6071	8.5236	3.9392	118.8542	33.7615	10.1695	21.4198	12.3140	9.3782	11.3051	95.3132	2.3408	9.0304	160.3053	33.9616	20.1979	9.8522	24.5015	3.8585	20.9059	19.8507	8.3565	1.0271	26.1638	14.3639	6.2637	13.9785	11.1055	15.2516	133.4824	11.4783	4.2310	18.3824	8.1290	13.4399	21.7391	5.6209	44.3066	53.2510	2.5021	5.2425	10.9682	140.4970	19.9043	3.5289	20.0648	14.9772	33.6828	11.2590	12.4918	14.0249	26.6742	72.0215	104.0331	61.9977	21.1817	3.6184	10.6958	6.7760	0.7808	7.0872	15.9140	14.4939	14.2275	9.2927	12.4546	3.7256	11.5487	37.3090	9.8564	15.9490	7.1210	8.7582	5.0872	8.1222	81.6149	20.3321	23.4018	31.9944	15.3466	9.4241	4.7125	4.2918	7.1830	11.5904	2.2345	29.1906	8.7146	6.5155	13.8447	354.7454	6.0150	9.7316	35.5705	6.7547	17.6768	56.1671	33.2328	3.0060	34.4828	15.9236	5.2840	15.7882	19.1401	8.5037	20.8437	44.5448	7.8087
ARHGEF10L	742.9752	698.7791	726.1696	857.0795	1228.9869	1674.7772	916.0251	715.7609	295.6621	1207.9511	997.3017	874.6146	1137.6968	622.8916	1760.0786	1211.4676	520.4418	1006.6971	1667.5785	959.8119	1635.1219	1128.8136	1547.7356	779.2030	1108.5060	2927.3483	825.4600	707.3970	345.4782	288.8710	138.4593	676.0832	513.5468	719.2643	578.1350	310.9756	1048.7775	453.1105	1064.1102	713.5192	1187.8984	1433.3791	1806.4516	1025.7446	588.8448	1212.1986	1006.6087	1280.3046	1283.0882	958.9500	926.6255	1259.7547	1172.0817	927.1449	456.8783	750.3475	486.8938	1089.2587	262.9503	929.0564	633.8774	522.9309	1398.8109	772.2976	1078.3009	460.2235	521.5666	576.0499	286.3828	1064.8484	526.7374	376.8116	3770.0658	681.2749	376.6049	1063.4394	309.0007	803.8710	327.0579	1099.9629	689.2101	655.9444	789.1756	523.6042	657.2733	404.1115	659.0112	1700.4913	490.0427	648.2558	433.0734	907.9655	471.4509	1000.0000	1142.5884	437.5276	683.4206	584.3544	391.0944	642.0987	626.8497	381.3624	1885.5344	670.1940	1086.4667	1150.7684	300.9259	433.8346	876.7325	1211.4094	585.8170	719.6970	1479.1390	1023.7750	201.4028	355.1276	648.5235	927.3448	1069.8536	1181.2598	743.3224	539.4541	843.2836	732.3433
ARMC6	395.8678	651.7203	412.5818	1268.8987	687.5047	911.5593	598.7466	886.3913	1219.1324	412.8440	224.5008	792.3535	476.2220	618.0522	534.3822	467.1226	566.8742	545.1446	460.0066	758.8585	632.9389	529.5508	644.4308	400.1573	455.2415	435.4979	316.3079	664.3258	845.1908	609.0759	373.3632	653.9748	496.3054	568.2478	641.1383	492.1603	464.1861	729.7864	475.9052	314.8531	460.6913	692.9945	422.5806	541.1257	950.0957	576.7204	849.3565	599.7377	663.8498	491.7796	472.2012	982.1349	578.2033	1338.9508	456.7471	645.5352	391.2189	489.7088	922.1509	491.6794	463.1319	427.7340	833.9852	353.6690	831.0338	767.8961	453.7576	387.5993	635.4656	724.9186	516.7132	278.0379	645.5921	340.3445	691.8688	879.1333	919.9150	564.3011	672.3907	732.3927	331.4094	546.4111	422.2593	995.8995	585.8305	1530.5153	722.4817	747.4186	527.5321	895.3488	994.1520	416.7067	540.7071	467.4658	530.2929	283.4437	592.6527	626.7672	640.0215	608.3042	873.4461	567.9209	530.7835	636.5640	949.5914	581.4758	783.5648	518.0451	542.3179	1046.9329	828.9126	1187.4369	581.9566	873.8098	71.1423	563.2736	435.6977	753.4980	615.8375	336.8090	482.7094	518.5806	600.0000	770.8290
BCO2	4.9587	8.8790	10.2187	21.7150	15.4882	15.4215	7.1620	7.6087	5.7078	19.8777	16.1900	6.1665	27.8376	6.8273	77.9624	17.3593	41.3140	13.0898	5.6899	14.1086	62.9030	22.8814	36.1077	75.2523	51.3927	3.9900	57.3712	8.4270	2.3221	9.2407	5.2031	4.9130	25.8621	1.9361	30.2251	11.3240	19.8507	6.4995	8.2171	6.2084	26.5733	17.1703	5.3763	25.2398	13.9254	1.9160	29.2174	20.3089	38.8655	19.2386	17.7988	5.0167	4.8877	2.5316	2.3153	15.0125	3.2765	113.0862	9.4662	11.4941	4.8522	19.5798	5.3044	18.2162	48.6182	24.3261	21.6989	12.4858	4.6795	11.9274	6.5540	28.9855	19.4079	28.8321	13.9087	40.6012	6.3785	7.7419	7.5620	24.8981	3.6138	4.1515	2.5173	13.0375	27.7833	8.1667	17.8628	24.2114	17.9335	10.1744	6.4977	25.8970	4.4476	162.1005	20.3601	9.7130	52.7051	27.3327	145.3863	7.8076	68.2548	14.5245	36.6735	6.2247	15.2029	10.5219	0.5787	2.2556	20.6429	25.5034	0.6141	35.3535	7.6577	27.5442	9.0180	10.3000	5.2113	6.8692	24.6189	20.2828	37.5163	25.8065	36.5672	17.0118
C14orf129	1211.5702	733.4073	813.0289	1116.5522	1048.5496	657.9849	1252.9991	782.0652	947.4886	519.8777	767.9439	939.3628	1193.7034	1503.6145	861.3283	513.4140	521.5894	934.2466	394.7916	518.1702	377.7732	408.4746	454.7124	560.2873	775.7667	679.6342	455.1161	1845.9738	1235.6199	652.4709	718.3119	675.8103	637.9310	917.7154	1058.5209	2801.3937	495.1642	670.3807	553.9673	347.6688	601.8494	714.9725	830.1075	621.9081	885.2565	1811.9112	844.1739	744.6583	413.3403	829.1571	467.1268	1125.4181	712.3891	405.9072	646.7297	1503.4751	646.1337	425.8699	702.6032	349.5876	814.2920	441.5995	694.8811	1077.1610	453.4289	1019.7239	333.4215	912.5993	1477.7726	451.9145	548.8142	1813.8239	342.7632	899.8410	440.4422	874.4876	780.2977	370.3226	547.6172	823.4161	356.7372	893.6205	326.6205	501.3143	512.0064	1137.7077	1385.0080	914.0497	206.4435	443.3140	1325.8609	2487.6842	1085.2265	609.5890	353.8776	913.9073	484.1187	261.0745	905.0429	623.9850	932.0647	546.7188	606.4086	775.1841	531.5597	875.5365	824.0741	529.3233	834.2672	712.0805	533.6215	335.8586	607.5932	981.7338	1944.8898	761.7555	709.9016	1041.2153	585.7703	655.0493	710.8083	551.3648	517.1642	604.6155
C1orf86	408.7521	342.9020	659.4795	966.9001	2097.5174	512.3646	793.1603	392.9457	1139.5091	360.2064	211.8511	743.4430	234.5949	546.8916	414.9438	411.3151	605.0208	817.7686	328.2547	601.9025	1708.4518	564.8305	743.7454	677.3593	635.6935	698.6534	342.5959	813.3006	424.0970	574.6685	796.4619	205.5517	617.4138	375.6244	1128.5659	1116.7247	672.5189	730.9935	227.7942	489.4990	201.9320	976.5934	604.6559	383.2913	296.9488	739.6711	608.9774	385.9107	926.5966	243.8860	394.4315	953.5229	499.4177	1054.8495	509.5196	541.3483	244.3381	645.0227	1007.4836	465.4365	760.3794	725.8559	670.3746	254.5764	1007.7533	1125.1940	326.7743	300.0000	473.1165	380.6220	655.7105	217.3467	1031.8947	246.1379	1202.5856	645.5827	1160.6733	590.5677	605.3344	605.7117	285.0439	858.3427	713.7571	511.5004	524.5644	496.4433	547.0654	696.3014	323.7202	506.2427	942.1897	1237.7367	355.4180	547.7797	459.9391	396.2958	465.4520	1233.1103	325.9496	369.1724	361.0777	476.2151	868.3719	766.5774	909.1788	810.0180	611.4873	1606.5188	309.7582	936.5369	659.9529	941.9508	477.0193	2971.5918	48.8477	680.8016	469.1083	1132.9643	469.8739	399.1344	340.4327	531.0372	509.1866	576.5126
C7orf28B	503.3058	770.1073	426.6326	564.8128	988.1457	1169.2940	1942.3456	957.6087	802.5114	1418.1957	349.1635	883.8643	1109.1964	632.5301	1003.8435	317.7275	664.4671	625.2664	625.8890	657.5460	753.4141	993.2203	578.3354	200.4447	300.4783	1269.4929	872.9838	1149.8127	704.1150	1545.6006	1124.4399	658.8878	354.6798	860.6002	866.2379	1938.1533	688.1569	787.3723	158.8633	1316.1746	669.3599	1658.3104	387.0968	1070.1666	2029.7904	935.0152	1023.3043	1510.4718	881.8277	574.1777	852.5245	492.1962	387.3539	1504.3601	1397.6462	687.7954	620.5767	1257.9425	2039.9684	1038.9508	532.4217	840.7260	834.0445	1011.1703	88.0246	220.2498	684.8373	1389.3303	600.8423	2793.6533	729.5676	769.2308	1062.8289	229.7268	687.9458	431.7783	787.3848	848.1720	1116.9752	292.2564	1823.9546	2126.1110	733.1655	1445.9047	180.9883	1026.4714	978.6284	426.9743	609.7383	217.2965	702.4042	577.5822	568.0284	503.4247	624.3759	664.0177	495.9860	141.3761	547.2103	1008.1199	801.6722	518.7869	338.9517	863.9900	1794.4889	1005.6763	824.6528	1232.3308	1214.3910	1156.3758	569.2372	508.2071	1579.8860	1497.5355	797.5952	512.3153	623.9143	1116.7768	756.2297	1225.2535	1209.0244	925.5583	758.9552	1018.1970
CAPN10	318.4298	522.0007	354.2583	607.1239	382.7361	312.2001	222.2883	199.4565	375.5708	309.2049	342.8602	218.9106	418.4855	119.0602	400.0031	131.5097	381.1218	500.2374	401.8120	497.7597	592.8161	262.9746	652.9988	235.6148	326.3622	766.7232	297.5381	254.6816	261.0205	285.7051	501.9367	310.7581	522.1305	335.9729	288.7460	192.5087	460.9769	223.1848	250.2782	824.4672	327.4980	376.8475	368.4624	236.8854	451.8853	379.3837	479.1165	247.0912	415.4884	230.3458	421.8562	220.1784	441.6446	469.2377	296.3535	271.8126	124.2464	467.5870	368.7484	519.1586	554.5787	553.6230	215.2790	412.0399	505.4759	704.1420	652.0111	357.0772	550.9686	307.1826	309.5126	410.3679	248.1974	232.0009	458.9872	266.7890	420.4394	384.7011	303.1241	228.6714	66.4636	489.0471	466.3310	529.0674	423.8539	172.3824	298.2456	598.4419	361.0718	244.8983	431.7739	292.6364	371.9252	618.3219	520.3989	593.3289	459.8360	245.0518	200.6438	275.5528	301.1229	278.3499	723.3043	607.5153	471.3452	715.7469	220.9375	833.4436	315.7358	495.5638	423.3295	370.5808	673.7656	703.5315	31.0621	326.5069	828.0718	241.4795	360.1029	325.1307	383.1662	265.9206	206.7164	334.2258
CARM1	689.2562	1123.1964	500.7185	1875.4709	695.4192	966.4154	811.4593	1936.4130	575.3425	1112.3853	599.0286	787.2559	1038.6081	971.8876	1040.0181	1312.9932	787.8353	775.3425	1182.6239	1303.9761	970.1984	1094.9153	1268.0539	959.8084	1167.0262	1255.5278	1167.9745	914.3258	1054.2374	1467.6577	1092.9325	1346.4347	806.6502	944.8209	1272.0257	791.8118	1597.9796	1259.0529	1002.4822	965.4016	1016.2492	1015.1099	779.5699	937.4054	1246.6533	1223.0560	1942.9565	1002.7502	1586.6597	966.8080	856.5202	1026.7559	1073.5936	1491.9831	894.4627	1228.5238	1241.8087	751.5129	973.1791	1304.7159	1130.5690	1883.2743	1356.9994	1042.4472	1277.3797	796.8442	980.9473	821.2259	1107.6275	1372.3093	1091.0744	741.9175	1184.5395	932.8584	1162.2682	1309.3890	570.5174	1725.1613	938.9523	1424.2312	950.4388	916.4540	673.3795	1517.8215	1115.3007	2941.9882	1266.3477	1884.7825	1363.7785	1387.3547	917.4789	800.4536	1109.3709	872.7169	1055.8157	664.0177	962.3037	932.1395	1379.8283	1477.8264	1444.2979	1048.7466	1513.2432	1102.1890	2293.4709	1120.8639	1135.9954	760.9023	789.7375	940.2685	1548.0551	1077.0202	950.9947	1936.5033	525.0501	985.2217	1259.4094	1012.9458	1071.4592	759.8914	816.3541	923.5732	1202.9851	1549.4666
CDK2AP1	1065.2893	1905.1424	1573.0481	2587.8573	1881.8136	4260.7951	3129.8120	2075.5435	1869.8630	1481.6514	1573.1247	2183.9671	1646.0646	3964.6586	1340.6410	1937.4014	1700.1865	1948.2496	2352.1173	2109.0209	2045.5904	1820.3390	1590.5753	2624.2518	2063.5844	2527.6808	2791.0651	3765.4494	2155.4329	1656.8903	1649.6604	2912.0437	4113.3005	2272.0232	2752.4116	2050.5226	1182.2182	2791.0864	3161.5167	2736.5611	2192.2973	1921.3599	3739.7849	2200.9086	1258.5894	1862.3663	2490.7826	1475.7774	1550.4202	1619.2950	1589.1754	2117.6143	1767.6536	2255.1336	3157.2448	2115.0959	1752.2936	1652.7988	5814.8830	1883.3437	4699.1619	2024.8513	4250.7251	1523.9732	1372.5691	3513.4780	1750.4631	2330.8740	1648.1048	1645.9760	2650.9347	2158.8629	3528.6184	1157.4698	3985.3780	2474.3314	3404.6775	3073.9785	1620.7956	1309.8185	1886.4223	1303.0668	2412.8383	7637.0518	2239.3332	1734.7226	4296.9697	3384.1772	2443.9579	1563.9535	1574.0741	5576.4933	2468.4455	2085.0457	2208.0994	1711.2583	1701.9197	1471.2535	3264.4850	2200.1874	3755.6252	2196.9305	1693.2765	3071.6879	1959.0064	1143.5692	979.1667	2771.4286	1843.7039	1785.2349	1488.4909	4601.0101	1652.1559	6946.3613	1934.8697	5346.1711	2603.9375	2355.6143	4149.8972	2983.2881	1423.1173	3576.1787	2069.4030	1463.2922
CGGBP1	1680.9917	1431.2986	2442.9826	2216.7317	1735.4658	1974.2975	2845.1244	1499.4565	2842.4658	1892.2018	2240.6908	1970.1953	1592.7092	2810.8755	1765.3956	1784.8501	1886.6734	2364.7002	1845.7162	1772.1248	1123.3689	1732.2034	1367.8091	1383.2735	2206.8836	2344.8047	1477.9501	1772.9401	2078.2925	1345.1185	1281.1129	1261.8246	1490.1478	2883.8335	1418.0064	2768.2927	1359.7715	1800.3714	1248.9943	1313.9573	1685.9682	1454.6703	1359.1398	1934.3766	1931.6496	1539.1985	1589.2174	1985.1915	877.6261	2210.8145	2434.4533	2227.4247	1721.4864	1557.5246	1521.1268	1548.5293	2709.6986	2105.5219	1697.4468	1584.4982	2900.3088	1218.4713	1276.5031	1441.1411	1497.9529	1303.0901	2309.3464	1989.2168	2129.6444	2132.3473	1913.0883	4556.2988	1828.6184	2514.9136	1689.7290	1009.5647	1797.3069	1857.6344	1556.2190	1844.2445	1790.9344	2410.4920	1871.6174	1423.6148	2152.8081	1537.5950	2017.2281	1183.7926	877.0723	1639.5349	2077.3229	1310.5466	2232.7201	2081.6210	1535.7319	2199.1170	2533.6824	1594.7220	1206.5451	2041.8645	1311.3587	1825.2511	1393.2210	2230.9368	1439.3919	1454.2434	966.4352	1554.8872	1598.6435	2297.9866	1765.4337	1292.2980	2308.5671	1219.1940	3929.8597	2822.6601	1583.3816	1964.3382	1208.4689	1738.0374	2014.9440	1937.9653	1820.1642	1497.3158
