ID	6848	5779	4507	A4T6	4418	A4T8	5429	8025	7458	5936	6207	6970	8615	A4TD	6745	4490	5126	1594	7146	5775	6594	1679	6774	4384	6849	5941	8505	8056	3396	5420	1677	7283	4675	7536	6743	7227	7974	7714	5643	7220	5375	6593	6981	6178	4250	4512	6595	6203	5072	7727	A4T9	7554	7154	4659	5930	5051	6761	A4VK	A4TC	4494	6214	A4P8
ALDH6A1	104.4497	285.4992	123.5316	268.2159	207.7906	263.2357	185.6071	110.5531	433.4321	274.1959	531.1429	881.6608	396.9412	311.3356	283.8526	195.6754	409.6099	547.6887	252.6368	250.6561	163.5704	396.0476	222.4814	917.6176	819.2881	419.9295	189.5168	235.6937	179.6442	202.8659	301.7068	218.7419	157.6208	261.8874	531.7146	268.8597	292.0796	927.5470	184.6085	184.0741	305.9156	190.2694	350.8772	522.1841	309.4852	131.3912	180.3151	622.3384	210.6005	419.0550	338.1800	517.7839	443.8756	514.5084	614.5163	200.0155	282.6324	371.8838	162.3066	159.5712	45.1295	310.5059
ANKLE1	116.3335	28.3552	18.3328	6.5874	18.6124	19.0866	1.5468	7.6641	18.5384	3.6550	4.3956	6.7459	25.6684	24.6427	111.0565	22.4656	0.7962	27.1226	35.8209	4.1770	14.7887	40.9170	5.5762	1.8326	8.8988	19.8718	106.0695	7.9681	11.8595	10.7403	37.1991	1.0025	12.7014	24.5668	73.6137	11.7484	171.6456	3.7594	23.6620	12.3536	52.1643	5.7729	13.1579	14.0406	20.2271	14.6042	34.7267	4.8143	9.6998	5.5046	32.2581	19.0095	21.4318	6.5401	15.9366	15.4919	86.5261	11.7130	53.2302	90.8497	39.1770	13.2179
ARHGEF10L	681.7035	337.9705	499.4811	1858.7374	637.1417	806.2992	320.9590	907.0310	936.5224	554.8246	302.8571	472.8558	894.1176	673.2380	629.4840	2162.3140	710.9873	509.8270	596.5174	271.0398	606.3380	1165.6994	556.6914	747.0984	714.1268	861.5385	890.9841	909.7523	788.9908	556.7042	183.8074	599.4987	542.7509	537.1432	805.7515	845.8880	772.6990	994.3609	50.7042	623.3432	405.1054	1383.5792	1111.4035	1102.9641	498.3835	1738.6626	382.6367	992.4347	677.1363	150.4587	1038.6300	349.1746	477.4520	483.9662	517.9403	202.9435	620.3483	654.4656	681.0737	561.9365	677.5492	1263.4458
ARMC6	680.7907	351.6039	758.8897	673.3138	397.1649	555.1454	567.6721	624.4119	387.9831	426.0965	1098.4352	430.6585	697.8342	784.1301	635.3808	976.3175	655.2548	509.4261	467.6617	790.8422	801.4085	503.1834	496.1524	607.8192	332.5918	496.7949	441.9151	568.4497	670.1275	894.9870	1022.9759	717.7043	846.2949	485.1639	375.4585	523.8424	742.0232	472.7444	1076.5127	377.3002	592.6748	774.8172	799.9386	457.0983	579.5971	786.1952	744.0514	460.7634	444.3048	152.2936	546.7662	460.1901	926.3283	539.6540	169.3134	553.0132	700.2750	374.8170	573.2484	1278.9011	885.8310	530.0820
BCO2	14.2371	11.4566	68.8343	24.1537	14.9564	8.3990	4.6404	108.6305	23.1731	10.2339	16.7033	5.7822	2.1390	22.6713	9.3366	27.1459	29.4586	5.5031	20.8955	2.3205	26.0563	26.4074	10.2230	15.2718	10.0111	5.1282	8.2499	23.5579	8.7268	5.3701	9.8468	7.0175	10.2230	1.7913	5.4259	19.3504	24.9827	64.8496	27.6056	48.3850	3.3296	26.2989	9.6491	11.7005	2.9843	16.1414	5.1447	12.3796	16.1663	19.2661	20.3106	3.0015	8.3346	9.4937	19.9208	6.1967	3.6664	27.3304	12.2839	1.9876	51.6286	56.9736
C14orf129	469.8227	522.9133	767.9004	289.4785	1794.4329	564.8294	4150.8121	421.8594	804.7670	834.7953	728.7912	969.8040	653.4759	509.1178	810.8108	921.0896	465.7643	1170.2044	598.0100	1020.1122	414.7887	644.5154	561.3383	726.9395	582.8699	683.3333	592.8108	477.0483	817.8563	2753.0901	946.3895	485.2130	489.4672	989.8380	975.0407	548.7215	288.0354	499.0602	286.1972	919.8301	2011.0988	494.5478	545.6140	637.2855	1175.4953	396.6180	660.4502	465.6121	618.9376	696.3303	813.2218	765.8829	749.5163	1223.2068	422.3206	629.7444	425.2979	524.1581	516.8335	1821.8215	743.4515	283.9562
C1orf86	852.6319	495.7038	842.1619	1289.1674	744.7113	1205.9171	734.0139	636.7777	398.6262	338.9035	350.8308	354.5390	871.5561	715.8502	250.6486	1254.4510	453.4713	327.4450	269.3930	668.9393	489.0845	544.2310	539.6654	565.4612	730.8343	386.2308	846.7590	363.5060	810.5124	537.6670	575.8425	561.4286	1342.2212	355.6482	582.7672	499.3642	455.5191	249.5959	438.1127	155.9233	1158.6459	646.5106	893.3947	534.7660	330.6806	890.6303	399.7878	464.2022	632.6143	95.4954	547.6344	344.0220	350.2605	675.1435	390.3012	524.8954	595.3804	768.9849	737.0473	787.6851	491.5253	557.7074
C7orf28B	1273.7973	775.7774	504.3238	175.6633	1305.5256	621.5223	961.3302	500.8331	439.9570	954.6784	824.6154	567.2984	1155.0802	504.1893	988.2064	890.1994	707.0064	1168.2390	803.9801	431.6216	1190.1408	1034.2426	944.2379	1078.1918	790.8788	770.5128	710.0766	776.0263	863.7279	577.2897	874.1794	562.9073	1081.1648	330.3725	707.5421	384.9343	834.1269	296.0526	619.7183	773.6456	875.6937	1033.3547	1121.9298	828.3931	1294.2054	638.7394	1272.6688	322.5585	802.7714	645.8716	1381.1231	616.8084	765.5901	763.2911	551.1416	982.9589	1415.2154	734.5046	1497.2702	2789.2383	1463.5183	530.0820
CAPN10	365.9760	516.9313	488.9346	678.3641	402.2135	777.4656	227.3705	768.8437	164.3102	200.3655	156.6242	318.4099	945.7166	559.6846	126.8894	341.0933	244.5541	582.6690	170.0697	191.3058	99.4930	131.6280	255.1301	453.5980	248.0534	289.8269	691.4673	437.2631	321.1255	260.2100	359.1028	175.0727	395.6041	447.8838	221.1015	195.5771	397.6652	122.1805	246.7324	663.3483	211.9867	406.1835	383.3333	162.6755	338.6189	253.1053	148.5531	163.6864	260.5635	68.8073	462.9590	161.0805	265.8431	348.1857	257.8679	612.3005	157.8222	567.4329	514.2311	210.1285	359.8755	619.3710
CARM1	2086.9842	870.7038	1098.9277	1385.1784	892.0648	1461.8373	1082.7533	1431.8560	946.7847	942.2515	1458.9011	878.5737	1251.3369	1558.4032	1251.1057	866.7977	1239.6497	820.7547	1264.6766	1430.3848	856.3380	1454.1497	1184.9442	568.7233	543.9377	962.8205	1248.6741	1085.3975	1516.6704	755.3992	1166.3020	1568.9223	1499.3804	1038.4599	920.7813	1164.4782	1651.5007	744.3609	1890.1408	744.3058	906.7703	1391.2765	931.5789	1039.7816	1077.6755	1508.8394	1241.8006	883.0812	913.1640	462.3853	1048.5862	1105.0525	1280.5477	1279.3249	1035.8806	1210.6894	1553.0706	766.7155	1498.1802	1961.2409	1082.3780	859.6171
CDK2AP1	1123.0521	1856.7921	5873.0543	1684.1720	3129.2065	1895.2231	2853.8283	1501.1663	891.8315	2048.2456	1852.3077	1179.8908	1862.0321	1665.8452	1719.4103	2650.9407	2783.4395	3376.9654	2013.4328	1603.0334	2883.0986	3389.4370	2852.2305	1236.4081	1251.3904	1599.3590	3300.5303	2352.6763	2591.8550	1357.7496	3907.0022	1655.6391	2298.3271	3070.8522	5703.2013	1631.6517	1341.4218	1968.0451	3611.8310	2119.6757	4057.7137	2472.0975	1525.4386	1385.3354	1463.3176	4633.3590	2584.5659	1494.4979	3262.3557	1570.6422	1178.4150	1294.6473	1565.7092	1995.3586	2875.2328	3817.9706	1464.3446	1221.5715	1846.2238	5266.1319	1399.1345	1262.9900
CGGBP1	1399.4184	1637.4795	2420.2698	1950.2397	2088.9107	1386.6667	1920.3403	1687.4375	2267.6488	2010.2339	1193.4066	1971.4102	1462.0321	1177.4273	3215.2383	1869.3625	1783.4793	1407.6336	1470.6468	3141.0915	1005.6338	1810.8009	1797.4257	1886.3775	1846.4961	1521.1731	1731.8798	2206.4819	1714.7080	2184.7506	2399.3435	1992.9825	1573.7299	1533.3789	1589.8101	2184.5197	1747.3224	2180.4511	958.8732	1691.4168	2107.6582	1218.0885	1121.0526	1506.2402	2330.4385	1464.2583	1899.6785	1792.9849	1406.9284	2633.9450	1579.4504	1796.4032	1605.5961	1821.3101	2037.2319	1697.9086	1993.7672	1977.5500	1295.2684	1914.3892	1319.8694	2004.5579
CHCHD8	944.6702	865.7938	2951.9198	1133.3943	1408.2260	852.4934	1779.5824	1125.9580	715.7163	858.1871	1417.5824	590.1060	554.5455	857.5653	882.5553	1399.4196	804.9363	1121.4623	627.3632	1449.4132	1252.1127	458.2124	1051.1152	607.2083	903.2258	683.9744	909.2516	565.7371	914.5223	2700.2837	2741.7943	810.5263	924.1016	1304.3445	1152.4688	841.0504	1070.1396	630.6391	702.5352	970.7888	1266.3707	1486.2091	1064.0351	1248.8300	957.9707	1360.4919	920.9003	627.9230	1026.7898	773.3945	570.6890	619.3097	1902.0688	1108.4388	1255.0092	1175.0581	625.4812	883.8458	1192.4477	2527.1527	606.7876	372.8350
COQ9	760.4260	1599.0180	2143.2030	1621.9579	2362.7752	1046.5092	1145.3983	958.3472	760.0761	1077.4854	956.9231	886.6046	1573.2620	1499.7536	637.8378	2295.2354	1050.9554	1379.7170	574.1294	627.9398	1100.0000	517.4115	833.6431	957.8497	1045.6062	747.4359	1297.5840	889.6588	974.9385	1625.3614	1016.4114	871.6792	837.6704	749.0320	356.4840	1222.5294	856.4643	786.6541	990.9859	1380.0026	1075.4717	850.5452	967.5439	1140.4056	745.4199	1823.9816	932.4759	872.0770	1202.3095	689.9083	942.2541	606.8034	1807.4118	1072.7848	1131.5004	1614.2525	613.7489	1217.1791	699.2721	1034.7129	759.8512	744.3026
COX7A1	51.0859	65.4664	172.6046	33.3028	62.4844	74.7507	134.5708	123.6255	79.1194	51.1696	25.0549	41.4391	48.6631	181.3701	57.9853	190.0215	82.8025	35.7704	5.9701	23.2055	39.4366	160.1857	230.4833	91.0202	74.5273	64.7436	78.9629	35.3369	112.7769	131.5683	102.8446	63.6591	149.3185	17.9133	48.8334	80.8569	61.4280	25.3759	14.0845	27.2809	196.4484	113.5343	52.6316	70.9828	89.5300	275.1729	219.9357	132.0495	104.8499	18.3486	115.0936	69.0345	25.5990	107.3840	111.5564	57.3199	47.6627	91.2640	209.2812	149.9255	42.5177	190.0638
CUL3	1446.3169	1270.8674	1920.4428	1408.9661	1677.4408	1420.6824	1389.0178	1595.1350	1491.3515	1679.0936	1006.5934	1484.7414	1404.8128	1030.0641	1739.5577	1585.6969	1541.4013	2182.3899	2340.2985	1521.8143	892.9577	2161.3465	1508.3643	1583.3842	1602.8921	2292.3077	1517.9729	1908.8862	1696.3527	1165.3197	1570.0219	1788.9724	3098.8228	1747.3149	2048.8334	1775.3974	1842.5446	2804.5113	2827.6056	2678.1624	2146.5039	2005.7729	1654.3860	1648.2059	2070.7950	1212.9131	1539.5498	1469.0509	1935.3349	2269.7248	1585.0259	1676.8384	2297.3657	1494.9367	1216.4957	1389.6204	1765.7195	1128.8433	1702.0018	958.0464	2703.2116	1285.3236
CXXC1	583.7191	1971.3584	1329.9896	877.5846	1691.7324	1310.2362	369.6829	966.6778	681.6188	797.5146	549.8901	1113.7167	1286.6310	1428.7827	559.2138	349.1529	449.8408	770.0472	245.2736	664.1404	471.8310	386.5351	572.4907	793.5247	826.4739	633.3333	593.4001	785.7267	1096.6659	806.4155	928.8840	368.9223	1015.4895	829.1301	527.4010	729.0947	683.6431	395.6767	825.9155	665.5514	517.2031	377.8063	730.7018	567.8627	459.9188	598.0015	558.1994	656.8088	667.4365	223.8532	713.2616	596.2981	452.4483	905.6962	861.9058	932.6104	610.0825	1665.6906	872.1565	738.2693	633.2093	1129.4439
DDX10	1624.6988	665.3028	1642.3383	460.7502	497.8812	503.5171	610.2088	679.1070	562.4431	595.7602	897.5824	429.8105	243.3155	374.0759	619.1646	531.6859	456.2102	565.6447	970.6468	1273.5158	642.2535	356.6454	805.7621	315.2108	231.3682	436.5385	383.6181	342.9759	479.5256	444.8263	687.0897	402.5063	379.4919	936.8658	491.0472	441.6033	692.7544	309.2105	646.1972	522.4553	608.2131	644.0026	730.7018	876.7551	565.3652	488.0861	672.0257	355.5708	623.5566	505.5046	460.3744	594.2971	1890.1622	430.8017	439.5852	445.3912	379.1017	325.0366	596.9063	272.5918	558.1960	282.1331
DYNC1H1	9924.0621	5715.2209	5312.0028	9390.3019	3788.9489	9529.0289	3073.4725	6250.5831	10729.7856	10149.8538	9577.5824	11347.2535	6288.7701	7130.6062	10750.8600	7676.6826	4781.8471	6042.8459	7812.9353	17522.4455	6037.3239	10988.3923	10619.8885	8321.3195	6122.3582	8506.4103	9389.5109	6977.3082	4240.3222	2022.7515	4387.3085	9605.0125	7023.2342	25864.5089	7108.5187	8366.9661	8987.2912	9371.2406	6901.4085	6471.2392	7739.1787	7351.5074	8128.9474	11154.4462	5950.7585	8240.5842	10672.0257	9093.5351	9469.7460	6070.6422	10303.0665	8907.4537	8888.8227	7376.7932	7186.0900	9353.9892	6180.0183	9195.7052	6106.4604	4732.5903	7972.0598	8038.2862
ECHDC2	381.8880	513.9116	557.2466	2621.0430	631.4915	1004.9344	566.1253	621.4595	1001.4069	407.1637	439.5604	342.4350	1184.4920	959.5860	113.5135	394.0841	209.3949	541.2736	362.6866	142.0174	476.0563	256.2391	363.3829	850.3360	842.0467	542.3077	913.3765	981.4654	698.1428	364.2743	513.1291	607.5188	936.1834	33.5235	237.1134	953.0062	439.1070	597.7444	425.3521	483.8502	315.2053	1050.0321	713.1579	491.4197	222.1670	1077.6326	113.8264	396.8363	424.0185	915.5963	615.2927	262.6313	184.5513	532.9114	450.2097	766.8474	421.6315	926.7936	1048.2257	333.6409	423.9617	1585.2325
EDEM2	1143.1515	994.2717	1489.4500	1204.7575	2126.1321	720.6299	1464.8105	892.0360	697.5089	1832.6023	1178.4615	1981.0472	1069.5187	1186.2987	851.1057	1106.4308	1511.9427	1927.2799	771.1443	759.7469	1154.2254	1228.9611	973.9777	952.9627	1748.6096	1330.1282	1628.7566	942.3177	1222.4211	3532.6549	1910.2845	937.8446	2289.6530	936.8658	827.4552	791.9834	1138.3275	1068.6090	669.2958	1799.5110	2557.1587	1023.0917	1112.2807	909.5164	1865.2077	1393.5434	1124.1158	1374.1403	1433.2564	702.7523	1168.0605	950.4752	1100.1637	1082.0675	1095.6430	1118.5128	425.2979	1739.8731	1359.4177	1163.3421	900.7668	923.4275
EIF3J	1941.2638	1177.5777	2134.2096	784.2635	1958.9531	1324.9344	1430.7811	1518.4938	1595.6302	2150.5848	1008.3516	1652.1041	894.6524	920.1577	1007.3710	827.4829	1104.2994	2168.2390	1163.1841	1757.1177	1365.4930	1184.2716	1297.3978	1118.5095	1004.4494	1389.1026	1546.2581	1199.7228	1241.2173	2268.8827	1253.8293	1493.7343	1183.3953	1375.7418	1516.5491	1427.0905	1486.9091	1145.6767	2978.5915	2770.2998	1134.2952	1114.8172	992.1053	947.7379	1312.7746	1036.8947	1762.0579	1007.5653	2684.0647	1245.8716	1016.3282	990.4952	3509.4508	1477.8481	1256.3373	1127.8079	1525.9395	1183.0161	1027.7525	1596.6494	2296.2569	822.2425
EIF3M	3292.8373	2441.5221	3671.0377	1735.6926	3361.4524	1756.1743	5289.0410	2095.2549	2803.8567	3032.0687	3386.7297	2293.4950	1183.9091	1782.0798	2116.9238	2214.5652	2665.4777	2820.2712	2828.2687	5202.0152	1679.5634	1899.5270	1928.3736	1931.4905	1953.1257	2692.7756	3274.5256	1428.8793	2376.4354	3694.4213	8243.6980	3104.6667	1686.6326	3588.1296	2277.7591	2632.1838	1748.7244	2382.4624	5647.8254	2085.5746	4994.0844	1546.4080	2118.3509	2355.5928	2518.9953	2733.9124	3676.9968	2366.4718	2349.5889	3293.4954	1453.5564	2796.3232	2327.6619	1895.0570	1677.2369	2236.0806	1695.2374	1638.8189	1735.1410	2790.8852	2879.8937	1633.0356
ENC1	1082.7361	1954.5663	658.5887	1841.5151	493.1915	1513.7974	2305.4911	2612.5325	2747.6355	1661.3743	900.0791	1652.7498	1127.9091	1878.4278	2166.5455	1639.0527	890.1274	662.5708	773.0846	776.6590	568.3099	1854.7272	2847.4628	1626.0538	1927.4527	4960.7756	1261.1903	2634.6614	2562.9201	1143.3200	921.2254	3994.0451	983.4511	1832.1012	1219.1264	4598.7560	1535.1815	2138.5338	286.7606	948.0221	1110.7769	2014.6504	3441.0088	3506.1076	2298.4498	1939.2314	2230.2701	1710.9354	953.2379	1569.7248	3455.0219	3506.9585	1018.5504	2321.2700	1051.5384	3291.9520	3405.0816	2439.3411	2685.2684	3363.8220	1066.6586	834.7493
