ID	6148	5939	6761	6971	6835	4632	6745	2668	6831	6982	6147	6847	6968	6145	6979	6595	6146	5931	6744	4676	6985	6743	5932	2665	6969	5936	4627	2661	6983	6742	6981	6975	6849	4512	6778	4626	5933	6978	2662	5930	5935	2657	5645	4625	6980	4490	6776	6829	6984	6836	6986	2655	6972	6828	6144	6777	3396	6970
ALDH6A1	407.5141	493.0684	315.6846	334.7939	295.8027	688.9840	262.1771	377.6997	315.3385	362.3938	211.0978	264.5339	310.5393	240.0726	209.2738	381.1371	326.7576	365.5837	598.0636	271.8254	442.4774	394.2087	440.8360	418.2125	290.3729	378.8551	228.4241	367.1275	386.3487	408.6149	293.0116	470.8191	313.2463	239.6058	334.6403	323.5923	527.4158	259.4604	412.6483	272.9157	329.2260	399.0552	254.3292	517.7295	285.5089	282.7661	423.6525	344.0014	287.4049	541.8346	293.3148	354.8351	292.2598	355.7685	274.6279	368.5087	367.1060	383.3810
ANKLE1	9.8870	3.6752	2.0747	8.6436	6.2630	3.8545	2.9520	7.2965	6.6593	10.8479	6.5987	5.4299	19.8255	7.2582	4.2250	6.6199	17.1473	6.1444	6.5200	4.1433	7.8771	2.1008	4.0584	3.1359	12.7119	2.4957	0.5388	5.6935	6.9384	2.4115	14.9305	13.5014	6.2109	5.1414	19.4575	5.4732	7.3874	5.9022	3.7969	3.7965	6.1920	36.8469	9.8338	5.2454	24.2764	7.7031	10.6383	6.8166	10.8128	5.4692	7.7160	4.3143	13.3858	5.1447	7.4269	4.1425	5.9227	12.8012
ARHGEF10L	831.4501	706.2560	598.5477	1250.6649	618.7869	697.6565	443.5424	1227.3425	460.5993	931.4771	341.3317	756.5611	1617.7637	484.8485	897.8083	699.3769	781.7615	410.1382	578.3211	473.1649	806.6168	508.4034	745.9416	747.3868	1016.1017	791.1402	764.0179	950.8175	823.0703	687.2645	860.3716	724.5725	495.3185	572.4079	558.3726	1250.8027	465.4070	752.9511	576.1747	766.8945	626.1610	849.7439	886.4435	1206.4444	1140.9897	349.4398	465.9574	2446.4894	829.2319	982.1137	592.5926	828.0431	799.2126	480.3859	884.4190	918.8070	828.5908	446.5361
ARMC6	451.9209	444.6656	496.8465	428.1915	551.1212	670.6271	749.8155	572.1659	309.4340	524.9828	446.8626	561.9729	720.2934	492.7164	428.8355	446.6121	451.2627	474.6390	382.7221	474.8222	413.0721	583.3333	523.5390	713.9129	553.3559	479.7879	768.3283	605.4107	422.3764	569.0852	519.5263	476.1476	417.4961	677.8063	428.0483	618.4687	359.6704	464.5194	587.5605	486.6894	451.2384	789.9602	597.4994	724.9906	492.0635	618.9986	444.6809	484.6149	448.1133	472.6569	438.5309	573.8059	533.8583	408.9904	495.0890	558.3596	526.5224	432.9819
BCO2	154.8964	20.8263	8.2988	18.6170	363.2555	9.6361	99.6310	7.2965	88.7902	75.9356	54.5891	135.7466	17.4465	37.0169	8.4500	56.4642	24.9415	25.3456	24.1239	20.7165	51.9890	14.7059	38.9610	19.8606	29.6610	19.3418	11.3148	21.3507	70.2515	76.5637	55.0563	15.3015	120.3360	12.8535	58.3726	61.6644	56.8263	122.2597	21.3574	10.6302	36.3777	26.7501	64.1536	43.0873	83.0999	27.3109	67.3759	57.9414	75.6898	63.2866	266.0494	36.6718	40.9449	142.7653	32.8021	22.3695	59.5235	36.8976
C14orf129	393.5970	368.7477	349.5851	390.2926	370.1448	938.5600	977.8598	465.0538	408.4351	305.1889	398.9202	298.6425	522.6011	460.1706	540.7975	390.9657	370.2260	360.9831	373.5941	733.3641	509.6495	595.2381	319.8052	343.9024	365.2542	341.2884	956.9082	343.0345	501.3010	442.5019	337.8032	418.5419	330.7299	1306.7695	421.5802	953.4269	364.8245	436.7622	229.7105	444.9506	445.0464	405.2362	324.9824	698.3889	274.5098	1250.0000	363.8298	638.0368	555.1827	381.2820	347.2222	357.7812	331.4961	427.0096	285.9353	417.5642	381.4242	443.5241
C1orf86	357.1328	384.8636	433.6929	317.7327	364.7398	495.2879	557.9926	458.5215	142.8524	367.2464	391.9076	421.8643	649.4766	427.3635	411.5976	390.9424	298.4334	439.6313	206.7221	462.3757	323.3005	323.6765	239.2045	641.8223	497.3305	320.4804	824.0725	397.0707	340.8500	330.5803	420.1170	412.3132	388.6620	539.1088	315.0118	441.0649	311.0271	402.9680	488.2724	422.0957	400.3793	584.6329	520.5104	647.7744	436.4986	560.6443	237.7305	438.8684	444.5377	314.8546	423.7932	489.6333	484.3543	298.6688	396.2742	467.2991	433.7220	326.3404
C7orf28B	137.4765	170.2855	328.8382	442.1543	702.0851	716.9288	404.4280	366.7435	294.1176	276.2611	89.3821	371.0407	706.5821	818.7262	181.6741	683.4112	286.8277	567.5883	526.8134	677.8439	238.6766	341.0364	577.1104	463.0662	551.6949	472.3132	937.5114	383.8380	674.7615	473.8508	458.1805	660.6661	219.7103	693.2305	361.4387	433.1105	44.8927	232.7150	435.6906	593.7737	585.9133	376.2094	72.5825	133.0086	382.8198	1035.7143	654.6099	695.2965	718.4937	272.6792	186.4198	316.1787	444.0945	555.6270	295.2189	430.8202	551.4068	565.5120
CAPN10	302.7307	217.0711	185.6846	330.4521	341.9549	147.4329	200.7380	289.9386	161.3651	302.3902	226.1548	337.5566	406.0270	349.8458	268.5292	237.2625	289.2284	229.7005	160.3912	142.5295	279.7834	158.9636	221.0795	310.1045	445.1525	267.0410	223.0630	287.1763	265.5594	200.1507	388.7909	314.1404	274.8319	135.0043	253.6498	387.6175	229.2201	279.2411	338.4718	244.4951	188.0805	334.0922	367.1271	247.2836	446.3119	110.6443	318.7660	354.4649	347.3975	238.6138	333.1883	294.9245	401.7874	320.4887	276.0885	242.7506	243.2053	279.3675
CARM1	752.8249	653.5778	685.6846	700.1330	1012.1049	958.7959	656.8266	953.9171	443.9512	758.6332	853.6293	761.0860	873.1166	667.7554	707.6842	732.0872	762.2759	625.1920	585.4931	664.5853	647.8929	585.4342	645.2922	974.5645	836.4407	682.5768	846.9930	944.6495	716.3920	844.6119	755.8579	706.5707	667.6708	589.5458	608.4906	806.7459	615.4283	724.2833	888.4670	687.1678	790.2477	939.1007	749.7073	863.2447	737.6284	578.4314	565.9574	717.7914	803.8777	709.4346	769.4444	941.7565	644.8819	717.6849	724.7408	799.5029	815.2647	631.0241
