ID	7149	4395	5933	A48Z	4415	4396	4398	7158	5044	7813
MED20	864.0750	428.1615	640.8899	385.8722	491.5556	490.5231	615.9200	651.0373	338.7922	622.8160
MME	16.5426	328.5703	329.6297	481.4993	47.1111	75.8150	80.6873	27.8008	128.9662	117.1634
NCF4	109.1811	159.1848	419.9462	423.3542	98.6667	114.4807	498.9126	161.4108	280.4504	245.6321
NFS1	756.5481	697.1382	438.3156	476.2134	420.4444	682.3351	667.8991	505.8091	523.0297	730.7297
NR2F2	1602.9777	674.0523	1242.4896	506.0067	2088.8889	1294.9204	390.1696	856.4315	1357.2160	365.8787
OSBPL1A	973.8076	624.9279	517.9166	375.7809	1092.0000	1561.7892	648.5428	548.5477	482.0880	1565.2621
OSBPL5	249.7932	2238.2511	717.4293	701.5858	77.7778	870.3563	476.9465	487.9668	851.5865	701.9527
PHC1	297.2264	491.8461	158.2937	522.4652	649.8533	476.3457	117.2292	597.6266	320.3378	803.1860
PHTF2	301.6267	537.1480	827.6460	1473.8107	389.7778	468.5368	767.0726	719.5021	386.8987	1279.5478
PIK3C3	319.2721	317.0274	564.3505	298.8948	839.5556	770.2805	506.3071	484.6473	348.0041	492.2919
PIPSL	422.9391	366.4203	252.0698	183.5656	339.5556	115.9970	348.1949	520.7469	313.2037	199.3834
PLCD3	287.8412	674.8577	384.2278	290.2451	1152.0000	99.3177	130.0565	56.0166	1990.7881	64.7482
POC1A	60.1048	138.5149	242.8850	225.8530	498.6667	126.6111	317.0944	111.6183	230.2968	146.9681
POLR3G	62.8619	162.4061	140.8325	57.6646	445.7778	18.9538	171.8138	144.8133	269.1914	131.5519
PPP1R3F	75.5445	214.2150	103.0731	103.3157	124.4444	74.2987	124.8369	41.9087	126.9191	36.9990
PSME3	2395.3681	5297.9279	2666.6326	1974.0509	3756.4444	2155.4208	2724.6629	2755.6017	4219.0379	2664.9538
RAB12	874.5520	580.6353	1041.9563	806.3431	1435.1111	874.9052	649.1953	758.9212	1177.0727	1344.2960
RCN3	389.3025	135.8305	1875.2153	1324.8438	198.2222	111.4481	3050.2392	176.7635	896.6223	182.9394
RDBP	2502.8950	1818.5347	1784.3885	1274.8679	1477.7822	1247.1569	2557.4815	1601.4191	2588.5363	1432.6824
RNF170	687.6206	555.4019	1020.0151	848.1499	601.3333	664.1395	718.1383	473.0290	499.4882	427.5437
ROGDI	596.6363	290.4519	237.7824	864.9688	120.8889	364.6702	427.3597	612.4481	699.0788	442.9599
