ID	7633	7162	A4M7	8085	6968	4486	A4N4	4677	A443	8032	8179	A4DG	A4AE	5049	6147	7347	6145	A4AD	4123	7938	A4AG	A4TA	4487	5942	6835	A456	7546	6148	7553	4514	1681	7903	6673	7570	8090	7947	6980	A4SU	8097	1676	A47G	6840	8089	3770	A4N5	7348	7764	7498	8507	A491	6987	2655	5045	2661	A4SS	5946	7043	7725	7271	7941	7953	7911	4488	7995	6543	A4TH	8499	4122	3771	A444	4389	6776	6216	8668	7726	8669	7281	5645	5608	A492	A4DF	5935	5944	3398	7763	8076	7159	3918	A4M2	7659	7672	6828	8028	8206	1595	8255	6778	1592	5899	8299	7944	8281	7573	3919	4662	A4E6
ALDH6A1	1556.8748	688.6352	299.3081	664.6451	228.0939	960.8468	183.2546	1718.1988	105.3152	152.5296	973.8378	772.8006	257.3109	150.7143	497.8962	283.5082	272.7985	166.4677	303.2529	570.2115	142.8451	379.3793	346.1668	828.5465	508.4289	281.5260	512.3017	509.6826	396.7654	146.0512	348.6365	380.9018	441.6433	212.5534	215.3112	519.9828	261.2378	605.5171	233.8739	230.6682	162.6295	415.6727	161.6026	394.1447	193.9409	634.2232	580.7228	1071.4200	390.3571	106.7761	174.0501	531.7364	185.8164	382.0461	137.2425	448.3467	555.9318	257.3319	263.2194	285.3707	130.5266	465.0192	276.8960	403.0893	395.3233	354.0959	268.2026	269.3668	527.7068	121.0934	749.4530	680.0647	308.6371	527.1503	140.6477	638.3680	128.1937	451.0901	368.2857	246.8238	448.5714	512.9524	939.8811	178.2912	485.0953	559.3802	276.0551	271.7735	542.2924	248.2885	173.8266	863.2155	135.4387	804.5511	299.7796	283.3703	430.8439	419.9717	400.1657	209.2606	153.8873	1305.0905	465.4363	276.6699	426.9355	251.5045
ANKLE1	12.9559	7.3180	15.9003	5.2192	84.6365	2.3274	306.8785	1.1565	32.5705	18.3827	12.8056	32.7004	28.9598	54.6484	22.4044	17.4825	7.5805	21.8352	114.1683	5.4381	8.4424	46.1712	21.9040	4.4752	19.8646	12.4205	5.7411	7.4997	11.6081	9.9464	4.6987	7.4738	17.9473	15.2505	43.9765	20.1692	4.4209	20.1902	12.4101	11.7787	18.7399	191.4775	8.3165	1.8797	39.0906	8.5858	7.2944	8.9943	10.2814	37.3637	25.0000	3.8845	12.2673	11.0471	14.9538	68.4657	11.7578	10.5042	12.1488	10.8295	28.6580	34.8883	12.4748	11.8820	3.3445	24.7878	32.4915	59.7990	37.5896	10.6302	4.0268	2.8736	15.3234	12.6488	3.5492	10.7120	5.1282	8.0321	4.9650	5.3562	14.0176	3.1832	1.2197	9.4218	7.0932	13.2528	16.3691	167.5820	18.3021	9.7160	9.7618	6.7340	38.7595	15.0620	17.3964	26.3523	17.7665	32.4779	9.7157	22.3853	30.3807	4.1783	9.6077	23.7398	11.7213	11.6800
ARHGEF10L	427.8315	354.5554	1210.1418	932.8462	502.5758	421.2651	977.2679	319.4796	703.0745	569.4730	599.5343	1495.7806	788.4161	703.6830	860.1093	1008.5470	786.4814	1105.5623	505.8533	470.0906	737.8641	859.1961	561.0783	760.1403	780.1354	907.8811	522.4426	502.4776	1035.3545	1138.4785	863.8294	958.6447	1022.4341	271.8954	1057.6030	1056.1314	1717.9487	1269.6326	661.3370	877.1656	1016.6858	416.4215	662.4114	672.9323	1562.9921	1314.9552	296.4191	517.8523	405.3030	967.1784	629.9435	640.9426	763.1134	759.8463	1292.6720	978.1280	123.8487	307.7731	555.8087	1051.8970	1294.9258	511.1669	570.9044	1253.5540	884.6154	388.8376	520.4549	591.4573	648.2085	981.7768	1037.9195	435.3448	1250.6262	1063.9881	182.7862	774.4171	1290.0285	452.6678	871.3569	304.2314	477.5774	832.7232	642.7809	519.9143	546.1800	734.3598	286.5014	570.9382	1477.1753	603.1390	793.8305	997.4747	916.0167	1375.0738	371.4284	794.7295	786.1675	912.3584	1425.9180	639.0377	592.6061	321.7270	729.3835	733.9837	537.7718	1228.0721
ARMC6	744.7637	684.5957	669.4671	451.2735	794.4533	1023.7107	927.7799	421.2100	357.7144	622.2744	614.2802	353.3755	476.9504	907.3549	571.0000	617.2028	339.1156	335.3634	609.0439	454.9849	670.8879	736.7758	637.7422	505.6947	485.2506	403.3713	346.5397	481.5856	454.7702	1549.3255	373.0008	577.4788	820.4094	662.2963	593.8897	563.9302	341.2909	532.9264	716.1655	568.8412	442.4626	746.5024	440.7759	581.7669	521.6417	547.3873	819.6286	410.0436	741.7965	759.0895	549.0819	476.4988	722.4958	618.6359	418.1356	2378.1602	551.8323	171.2185	551.2377	679.8871	907.5353	771.7722	575.3073	614.0208	516.5608	464.0221	1226.9739	965.8291	463.8436	483.6522	624.3758	853.3908	536.2782	584.0476	212.0674	490.2331	719.6467	388.9730	473.0933	1025.1741	361.0726	469.2026	374.4473	495.3961	918.5459	570.1929	396.1433	534.3249	569.7600	561.2855	677.8602	370.3451	552.0906	455.5375	977.2412	689.3065	500.0000	474.1774	384.0377	526.2663	977.2840	677.9248	520.4163	586.2797	593.0634	630.7218
BCO2	2.5912	5.1226	110.8724	5.2192	6.8689	3.3249	53.3317	6.3607	56.1561	20.3383	7.7610	14.2405	86.8794	5.5804	93.9891	19.4250	9.4757	45.8790	3.9520	14.5015	18.5732	47.2618	5.8972	31.9655	28.4424	46.7248	14.6138	313.3789	28.1274	9.9464	42.2879	15.4459	44.8682	25.7081	22.9173	25.3643	39.7878	55.4056	32.0260	20.7859	35.0978	97.0377	17.4647	15.9774	9.0551	32.3620	7.9576	8.1766	3.7879	10.0582	9.1808	26.6736	21.9966	31.7003	18.8307	11.5793	10.1901	18.9076	7.5930	57.8996	15.0676	13.2153	1.4676	12.1649	7.2464	21.2177	18.3134	4.5226	16.9381	16.7046	2.3490	4.3103	12.3766	34.2262	95.8296	3.1506	19.3732	129.6615	3.9011	10.7124	13.8696	10.1862	6.0985	32.9764	8.8666	46.3847	9.3664	14.8741	38.0492	65.7698	5.0761	9.2593	15.0731	33.3727	6.4092	19.4175	20.3046	26.2530	2.2860	12.6709	4.7584	6.9638	52.0416	34.4715	6.3295	50.0573
C14orf129	686.6609	652.7625	447.7869	593.9457	649.1128	1759.8706	516.5010	1216.9136	395.9006	897.6239	737.6795	415.0844	526.0047	1155.1339	577.5956	369.8524	492.7353	581.8108	2507.7503	417.5227	325.8759	665.3013	662.1735	340.1132	600.0000	557.1492	415.4489	368.0193	550.0460	590.6623	546.4896	545.5904	798.0931	651.8519	489.9350	568.4041	402.2989	641.8594	297.8418	2555.9747	663.4062	757.1995	565.1080	2478.3835	569.6850	631.3899	431.6976	456.5277	778.6797	358.9201	605.2260	1606.1116	1222.9272	1456.2920	709.4742	414.6028	742.3084	555.6723	492.7866	243.2431	451.1411	556.6275	1268.7580	1034.3023	727.9822	348.7085	959.3856	3112.5628	792.8339	307.5171	876.5101	441.0920	566.3769	404.0179	869.5652	385.0032	467.8063	466.4372	1113.5778	631.4944	560.3329	552.6023	423.2352	1232.5482	760.7507	599.4933	1346.0055	1426.3921	349.6672	202.5411	732.1359	830.8081	396.6391	386.8872	503.8852	1180.8599	544.4162	719.1149	1229.8900	476.8497	714.1288	939.7632	410.7286	832.5203	610.4437	408.2450
C1orf86	533.2462	266.2569	677.8040	675.6019	474.9284	1364.0177	672.9648	607.6531	489.5016	491.1000	321.8937	536.0496	505.4078	735.3571	416.5683	749.1298	434.1756	834.6204	718.0878	312.7855	560.1238	1054.5289	509.7641	451.1679	273.6524	864.8765	226.0856	521.2910	275.3355	1135.1809	678.7567	464.2352	468.5923	585.0458	803.1217	313.8843	504.5889	682.0049	486.2188	949.6184	671.7031	400.3224	256.0077	1778.5338	662.2480	460.0164	577.7321	948.1330	645.3139	789.1689	452.2387	550.2551	1013.1049	743.1508	614.8223	577.4654	592.3182	99.0021	596.8413	643.3100	641.7224	447.6596	839.4717	447.0387	379.6210	443.3164	747.6119	874.2211	552.0847	606.8565	515.0268	900.6825	480.1473	773.6012	189.6096	367.8450	718.6439	442.8629	615.5674	1862.4746	135.8853	341.0282	472.3586	421.9657	492.9393	636.9947	434.1818	478.5088	672.3532	532.0404	431.3120	215.9848	694.7300	397.6432	269.9006	550.6990	311.7640	411.7413	578.7055	224.1785	808.2687	287.6323	782.3779	419.3724	372.0495	433.1123
C7orf28B	583.0140	458.8364	789.8582	719.9026	922.7247	1300.7016	858.5928	1007.0112	721.6061	757.2113	552.1925	871.8354	1230.4965	900.6696	234.4262	758.3528	681.6172	500.2030	1554.8842	652.5680	301.1116	1320.1000	973.8837	389.9794	582.8442	443.5901	802.7140	551.2254	382.1748	801.8317	533.1165	1004.9826	2636.5676	464.4880	910.8083	1050.0196	1058.3554	971.4755	706.1734	942.9877	794.5915	414.1293	978.4394	1254.6992	909.4488	922.6481	621.3528	550.0136	1053.0303	559.0259	710.4520	239.8032	1198.8156	1145.5331	544.9825	1080.4117	692.1419	616.5966	558.0866	367.4523	509.0479	606.3169	1507.9802	763.2789	544.0357	647.1402	959.3856	2430.1508	822.8013	782.8398	196.9799	984.1954	526.3003	858.6310	1668.1455	518.5885	952.1368	674.1251	706.8028	615.9614	670.3652	1154.8623	414.6974	976.0171	1492.5373	688.7546	614.8760	991.2281	502.8272	541.1061	795.0020	452.0202	745.0442	650.0295	1059.3492	1636.0610	853.4264	840.0951	962.9947	710.4173	1203.5139	451.9499	172.1377	561.3008	569.1848	177.9815
CAPN10	694.1465	342.8467	504.6627	518.8831	410.8872	442.3815	462.2083	206.0889	369.7712	456.8182	467.9860	427.5369	374.4385	250.6864	239.9781	270.0699	208.6734	487.7588	140.2162	190.5317	520.6641	653.1829	135.6361	175.8999	294.1490	432.4471	204.8173	275.7520	277.2554	449.2400	245.8119	278.0269	196.0348	419.5991	444.1561	339.8140	167.1088	577.1335	572.9252	238.3452	490.6904	490.7891	263.0060	423.0639	660.6299	362.9831	278.1963	811.7880	659.0152	404.3197	310.4308	335.6830	311.3367	229.6013	914.6402	382.1615	495.3949	60.9244	184.5178	530.6710	781.9603	343.0686	210.6036	487.1009	229.0970	654.1375	283.0424	104.9899	351.2248	389.0585	393.7483	281.6451	250.7441	390.6250	112.7507	624.2785	433.6182	272.3236	704.7707	940.6802	335.9085	192.3158	176.2830	186.9251	194.8219	363.4886	355.2617	194.4851	648.9794	392.3767	293.6080	386.9108	424.6321	504.1760	390.3508	454.4300	465.9391	347.6570	581.2259	305.5850	279.2826	328.9868	421.1369	276.7317	406.3014	500.5729
CARM1	430.1348	651.6648	1035.6682	780.0974	994.2759	468.4787	1466.8629	724.8283	630.0716	1196.8319	848.6612	887.1308	622.9314	1000.0000	1802.1858	1335.2758	833.8598	771.4170	832.1111	1013.2931	626.4247	1179.5263	883.7405	834.9396	920.9932	740.4998	708.7683	972.8137	921.5057	934.1951	931.7792	958.6447	1177.2294	1018.7364	1416.2279	1174.7017	793.1034	1156.0042	1128.9167	712.9569	910.8170	1463.2059	856.1865	480.2632	886.6142	1027.6596	696.2865	858.2720	1349.5671	1317.0990	1342.5141	580.3444	1171.3198	894.3324	1037.9037	1679.9614	721.1444	483.1933	1296.1276	1390.5612	1065.3667	1072.5519	1317.9233	1076.1723	1152.7313	657.2878	2334.6625	1152.2613	785.6678	1302.9613	1152.3490	1086.2069	1193.4581	811.7560	665.4836	1171.3926	1426.7806	771.6581	1128.8275	488.4842	897.3648	1675.6327	772.6788	862.0985	997.7834	1063.3405	768.0441	1185.7361	827.4494	678.6248	1500.9762	888.8889	1460.3727	813.6444	781.6172	1234.9515	840.7360	1044.4352	1411.0587	1111.2413	2229.5022	500.3482	787.8303	1069.9187	1039.2076	793.1299
