ID	4670	1680	8033	7145	7167	4434	7624	7701	8620	4402	8171	6591	7765	8094	4632	7160	4244	7156	8512	4666	A4T7
EIF3M	2676.9578	2639.6936	2750.4531	2114.0621	1821.1828	1902.4983	2349.5213	1642.7187	2675.9458	2017.1446	3507.2434	2944.3608	2380.6991	3659.2997	1615.6911	1783.5710	2488.2939	2066.4241	1339.8557	2347.7029	2670.8131
ENC1	682.3726	2960.3886	1330.6250	2242.1019	4019.1798	1705.7111	422.0466	2801.6754	417.2764	3160.1568	4525.2099	2999.5759	1719.6692	1185.3494	1218.0004	2080.1262	2198.1395	668.7500	1002.4532	823.4321	1077.3240
ESYT1	2940.2761	2096.4126	3564.0625	3154.0051	2185.7355	2800.1357	1928.4146	2285.5638	3190.9510	3610.5917	2013.2004	3449.2234	2561.7978	2478.3192	3031.9251	2402.5237	3415.6558	1215.1741	2235.7028	2895.8058	2406.7182
FAM164A	83.6408	491.7788	296.8750	971.8060	299.5542	275.3787	298.1994	126.4489	210.1503	179.9867	361.4661	388.8889	177.2784	355.8337	500.0956	268.1388	743.1713	167.9104	584.7141	133.5597	183.9446
FAM3C	1857.0452	2683.8565	1148.8281	5020.2217	916.1961	1263.1698	960.9135	2776.6070	470.9034	2394.1130	1236.0624	583.6320	4617.3533	3500.5215	2537.9469	1579.8107	2533.9035	815.2985	996.7932	6201.3457	1762.6917
FBXO28	1179.1718	1540.3587	1792.1875	1859.2336	1612.4814	1036.1745	1616.6008	1420.4426	615.5678	1450.0271	775.7337	1406.8100	2464.4195	1236.7754	1526.2856	2530.5994	2361.4626	1714.5522	796.9001	1470.1629	1231.1493
FUNDC1	451.8245	781.0164	228.1250	587.7390	148.2912	254.3522	281.0716	296.1012	254.2045	409.9162	201.0954	298.0884	270.9114	857.1003	249.2831	340.6940	253.0762	393.0348	202.0310	359.4290	275.2552
GPM6B	27.6069	149.4768	62.8906	32.5875	73.4027	92.6973	28.1072	408.8514	32.1476	141.3837	17.4133	534.6476	116.7291	11.3247	54.2917	203.1546	65.6253	396.1443	196.6863	39.4894	71.0194
GPN1	1348.0197	1928.5202	2483.6406	1147.5458	882.4309	1124.9197	1412.9644	635.4057	688.7930	1264.4092	689.6784	971.8041	1199.4881	1545.6832	3436.6737	981.0726	2158.1395	633.8433	533.3939	1416.3365	718.1336
HEXDC	184.5155	789.2377	580.4688	135.5873	486.1813	461.4786	375.9332	130.6639	340.5269	305.9292	422.9743	175.6989	111.1111	293.2499	253.1065	158.9905	429.7234	361.9403	917.1940	231.6620	549.6281
HMBOX1	97.5810	59.7907	81.6406	27.3502	84.9926	123.4456	39.9649	300.3161	101.2055	47.5300	72.4617	97.3716	233.4582	100.1341	77.2319	136.2776	56.2004	113.1841	89.7916	130.7929	53.8159
IMP4	880.4155	926.7564	656.2500	554.5695	692.7192	895.0938	1018.8845	360.3793	951.9274	722.8421	1143.0979	510.7527	523.7203	944.1216	1141.6555	608.8328	630.0724	530.4726	568.6799	1014.3998	835.0289
INTS2	416.5642	567.2646	351.5625	537.6939	409.5097	322.6317	205.9728	332.9821	420.8960	307.1355	294.0598	608.1243	355.1810	411.8611	302.0455	434.0694	452.3955	406.7164	420.6307	356.9138	281.4308
IP6K1	734.4540	1149.4768	963.2812	1291.8619	1115.8990	1132.4893	1019.7628	1114.8577	1396.0411	1315.8815	1500.6319	1304.0621	1308.3645	991.2085	1211.2407	1150.7886	982.6337	1036.0697	1445.2165	843.8659	1206.8880
ITGAE	409.4574	331.8386	844.9219	109.9828	341.7533	357.6758	138.7791	429.9262	285.1615	172.5074	140.7106	232.9749	293.3833	147.8170	406.0409	472.5552	246.0948	283.5821	169.4281	539.5208	412.0005
KIAA1430	679.5135	2383.4081	657.0312	1462.9463	1026.1516	862.7628	837.0663	1008.4299	676.8864	835.0323	958.0115	868.5783	1483.7703	380.2712	1207.4173	1267.5079	853.8267	1394.9005	653.1267	1306.4202	666.0822
LAMA1	49.7472	2.9895	307.0312	11.0565	4.1605	111.0106	319.2798	20.0211	9.5252	42.7046	46.0609	348.8650	185.3933	0.5960	8.4114	70.0315	66.6725	11.8159	64.6713	12.8278	220.9981
LRP1	6498.8383	1761.5845	6177.7344	5719.1073	6525.4086	6809.6315	4828.7220	7005.2687	3935.7047	6871.3433	3201.5166	11011.9474	13181.0237	4078.6768	1953.7373	8943.8486	4128.1089	3095.1493	8668.6264	3354.0841	6272.6416
LRRC59	9234.8421	3585.6577	6074.7617	7366.8306	2534.7489	4564.2392	4027.1498	3483.4879	3657.3359	4837.0300	1556.8488	4460.0538	3573.2397	9624.7951	6456.5399	3656.6372	3688.4929	2239.6206	2227.2849	5736.9628	3863.1576
MAP7D2	3.0067	216.7414	7.4219	201.9262	4.7548	227.4474	126.4822	13.6986	10.1206	175.4026	18.2559	65.7109	408.2397	107.2865	273.7526	8.8328	1087.3549	154.8507	62.5334	6.0366	14.9979
MDP1	117.6821	189.3647	112.5625	136.8326	120.8321	138.6955	96.1660	148.0084	201.1430	151.8065	235.9865	182.0012	114.2821	270.4753	276.6507	78.0189	249.1910	138.9988	130.7964	161.0212	94.7734
MEA1	2199.7895	1481.3154	1891.7852	1753.8945	1007.1204	889.4031	1501.9236	606.9547	1640.1250	1540.7274	1832.8746	1963.4528	913.8577	1858.4294	1176.0658	647.3186	1436.0660	862.5622	874.9332	1602.7165	903.4015
MEAF6	815.0882	1337.0703	1112.1094	1794.0586	2070.4309	1355.8671	1672.3759	1181.2434	1450.2158	2143.4345	1035.8096	1625.4480	1207.8652	1406.0498	896.9604	820.1893	779.8237	1945.2736	1402.9931	1161.5418	781.2130
MED20	707.9404	576.9806	1139.8438	982.8625	642.4963	886.9546	888.8889	348.7882	585.2061	644.1884	736.4134	793.9068	561.7978	476.8291	517.6830	493.3754	449.9520	615.0498	385.3554	817.7074	348.4801
