ID	A59K	5607	5068	A472	4628	4668	4432	4510	7161	7166	6983	8648	5423	5425	8513	6779	7148	8660	6982	8395	6767	6742	4629	7771	2659	A4TK	4506	7667	6975	5932	A46U	8278	7760	1596	7147	2665	8619	5815	6979	7030	8092	A4JF	8119	A4SY	6984	8194	6146	7978	4424	7994	4505	A471	5125	4397	8054	A4SW	7150	A4T4	4427
ALDH6A1	264.8093	209.2758	99.5906	185.9073	636.7952	770.9840	359.4491	499.1252	864.1316	120.0758	268.7766	288.3804	458.3810	427.7545	376.0534	322.9647	519.7022	212.2333	243.4570	775.5603	343.0710	165.8911	327.6935	321.8800	410.5230	152.3031	75.8372	302.8304	160.0000	1413.9817	376.9749	450.0162	170.1686	334.6300	235.6568	379.4355	243.8206	275.6952	162.7486	235.0625	374.9076	301.7416	141.3139	280.5634	173.2084	662.7955	563.5560	433.7794	973.7226	822.5465	349.2085	142.3939	292.6907	717.8863	337.3108	198.3379	144.5267	264.3983	451.8214
ANKLE1	31.9803	5.6957	7.6957	51.1583	51.8331	121.2792	37.2080	28.0300	11.3903	13.8208	10.9929	12.2231	0.7326	14.7059	20.0297	2.3909	4.2542	7.5831	7.3750	8.7723	18.3432	5.9657	30.2297	12.0000	7.1919	31.2036	15.5208	124.5188	36.0436	1.2469	14.3855	14.0014	7.4953	7.1048	5.4775	10.9108	9.9010	3.1422	43.6909	5.2083	23.5777	45.6225	33.1084	17.3171	4.5704	9.1583	4.8285	18.0363	46.7112	9.1817	4.2099	31.2020	61.3402	18.7145	7.9927	29.1439	50.4877	24.6496	20.6862
ARHGEF10L	1276.1378	755.8991	335.1896	777.9923	504.7408	480.6888	508.5088	534.8020	597.8052	1037.0040	553.9007	938.8846	730.4029	572.9638	982.9377	620.8408	581.7602	1052.8833	973.4962	1177.6832	691.1243	1567.4870	879.3833	644.5714	1154.2988	1117.3848	269.8239	292.9854	565.8005	442.2278	1528.9766	1196.6034	402.2486	608.0521	1111.9284	769.9241	1446.7094	535.7423	1057.7424	744.7917	733.1328	582.9044	241.7308	1052.0152	1119.7441	552.1151	985.5596	1015.8036	788.8465	990.3600	987.0895	840.9207	824.2268	1415.7924	229.1233	1806.9217	555.9380	1623.4896	650.8577
ARMC6	338.2534	588.0797	613.0463	719.1120	713.6252	323.7294	641.4508	482.7458	472.8760	343.2457	705.2766	628.7242	531.8681	708.0656	517.6335	267.7027	428.0776	1013.8012	659.1104	804.4212	507.1006	466.0701	897.4879	358.2857	427.5188	487.8653	1394.3966	1379.0124	435.8759	291.3217	304.1060	669.2163	493.2667	560.0947	631.0604	667.4288	573.0693	567.9497	568.6299	467.7083	338.9538	820.7215	482.9171	441.5563	605.9963	419.1016	258.9666	625.0504	755.4623	483.7820	550.8981	604.5217	472.0258	1612.1811	433.5859	616.5437	292.0080	501.6820	306.2412
BCO2	23.9852	15.4597	24.7972	30.8880	1.2642	6.1501	15.5754	20.4342	14.6971	14.2666	20.9220	5.3476	10.2564	2.2624	201.7804	23.1122	3.1906	8.1664	11.0625	13.1585	9.4675	8.2028	4.5345	9.7143	16.6721	17.8306	5.1736	0.3329	12.5733	1.6625	13.1525	24.6321	14.3660	56.8384	68.0772	28.9374	29.1206	5.4988	7.7516	33.3333	9.3421	6.6440	4.7347	47.6221	11.8830	15.2638	4.9639	20.5111	5.2431	25.9621	11.7878	59.3350	35.0515	5.7427	7.9927	56.9217	20.0803	17.8830	2.5227
C14orf129	645.1415	282.3434	2301.8630	684.3629	1774.6523	753.2595	824.0554	669.5402	865.2927	555.9519	944.3262	376.6234	2319.4139	1404.9774	460.6825	901.3748	898.6972	357.5720	704.3097	415.8077	779.8817	996.2714	1071.6445	445.7143	393.9196	321.9416	2336.8819	561.9993	895.2221	721.1139	608.3025	340.1828	648.3448	1136.1753	363.8612	680.7400	700.0582	675.5695	613.0819	612.5000	465.3258	693.1956	852.5021	1042.9237	1457.9525	706.0619	541.5162	671.1500	1079.5996	765.8826	1208.2515	587.7238	764.4330	614.2463	817.2509	499.5446	1186.4601	485.7419	706.8618
C1orf86	821.3469	721.9203	1382.4945	519.6236	989.2889	682.7823	1027.4849	1579.0230	383.8703	1511.1324	882.9255	704.6371	526.1099	425.7240	398.0786	318.0952	424.7594	845.6724	1025.3146	699.7105	357.9290	687.2931	669.8791	210.3200	230.6146	827.6374	793.9548	1040.0649	490.7963	267.2319	376.9831	383.5665	426.4834	384.0083	838.0387	273.0787	662.4403	387.2584	378.0813	458.4792	323.8285	764.7520	351.2435	517.1412	623.4095	339.0493	410.4874	713.2179	315.4576	513.2838	1254.5215	749.6061	446.0825	418.1977	299.3756	1396.4299	423.1612	610.9812	462.0081
C7orf28B	785.9779	863.3035	1025.2354	582.0463	2071.7446	560.3936	834.1506	826.3091	1036.1466	549.2644	776.5957	598.9305	1043.2234	1419.6833	577.8932	431.9586	665.7804	510.9838	149.3432	547.8310	786.3905	1281.8792	983.3736	381.7143	1900.6211	1138.6825	1363.8444	855.3176	626.1526	753.5328	895.6021	725.7406	2143.6602	1314.9793	198.3630	667.9317	618.5207	1051.0605	767.4094	840.6250	1509.8620	842.9081	540.5405	849.4049	764.1682	1076.7553	541.0650	542.3672	995.2336	298.5644	1169.2394	601.5345	1093.2990	260.1877	796.2701	607.9235	1509.4664	422.9096	291.6246
CAPN10	480.0615	232.2539	255.6675	319.8456	79.3300	342.7085	688.0935	680.9291	553.4162	691.0254	347.4539	450.7257	210.9890	361.4253	549.4807	95.7322	315.2194	782.3827	263.7566	574.2533	410.8935	292.4683	181.1336	323.0114	284.8382	493.9178	324.0673	340.2626	276.1861	375.2369	394.8664	365.6239	99.3504	252.4156	387.5513	240.5693	477.0297	242.2074	351.0775	215.5312	556.5714	293.3480	281.0863	422.0789	366.6088	387.9590	349.1968	338.5642	213.5367	345.8123	305.6441	810.3529	198.4536	172.6980	582.1297	761.3980	294.6529	544.7269	230.9183
