ID	7907	8174	7670	7669	8074	5055	7713	1678	A4N1	A48X	A4BC	A4EZ	7539	7910	8192	7711	6217	7914	8640	6212	6978	5428	8674	8279	A4BD	6851	8280	7039	6562	A4TI	4626	A4D0	8055	4676	4627	6744	7626	6712	6830
ALDH6A1	240.9773	1100.5626	220.1839	339.5279	489.2602	121.9103	437.0853	103.4231	82.6924	415.5425	206.3577	484.3317	333.3019	369.9907	439.0502	203.7316	518.0336	746.5667	174.6813	1552.3399	181.3957	170.9789	421.8325	249.4163	237.2904	308.3993	631.5304	256.9357	504.1136	133.4787	632.4439	168.0642	171.0716	409.1662	331.7074	321.7006	310.5173	714.6583	301.9387
ANKLE1	111.0242	6.0229	28.1320	18.0944	10.3645	23.2558	37.7563	28.0965	79.7424	22.9717	51.3773	10.6226	8.2474	40.7407	3.5739	36.7863	7.3914	22.4888	188.3705	7.0150	84.2997	189.2217	7.0826	11.5556	26.3003	39.1769	8.7241	157.8571	6.4317	20.5021	14.2526	13.4946	10.7158	2.1108	2.1890	13.2383	10.2434	60.9456	17.6245
ARHGEF10L	861.6106	434.7409	429.7086	784.5001	1237.3124	517.4419	275.3562	290.3301	1465.8772	1187.6833	1289.1645	1905.7736	789.3962	166.6667	934.0216	565.3325	616.8961	70.4648	930.1240	914.2919	780.3128	524.9618	770.6577	943.1111	905.6081	1505.5540	1168.6659	741.4286	1052.6598	1402.8541	931.1691	1136.8078	1038.5769	546.7018	663.9912	1024.9491	1737.3947	983.1952	667.4330
ARMC6	375.2932	480.4024	837.1528	477.1343	523.5883	773.2558	347.2615	1038.6326	1080.6773	416.3881	887.7285	607.4555	788.5125	304.6296	322.0910	472.3249	443.4829	737.0015	1186.8417	475.4396	583.5666	505.6202	878.5329	555.8430	513.7332	372.8283	392.1919	662.8571	436.7788	678.1060	696.7705	716.1052	387.9126	514.9815	678.5662	545.3157	604.3465	396.1461	1153.9540
BCO2	14.8554	10.6769	48.2263	29.4418	13.5811	13.2890	0.7215	1.8731	5.4015	45.4545	67.8851	10.6226	12.9602	13.8889	29.2820	14.1260	22.1741	10.4948	21.0066	10.9123	11.5282	13.0804	1.1242	18.9630	72.7643	25.0641	29.8073	3.5714	2.6799	13.8389	16.2887	7.9107	13.7162	10.5541	7.6614	22.4033	11.3816	17.0289	44.4444
C14orf129	586.3956	318.1165	472.0612	356.9813	848.8206	906.9767	613.2387	3314.4463	380.5962	514.1740	398.1723	848.2345	520.7658	431.4815	800.3754	606.2390	378.6662	877.5612	402.0423	761.5202	676.5593	3614.5629	661.0455	293.3333	605.7843	418.3993	447.8372	510.7143	720.8897	464.8844	645.4386	516.0540	630.5186	718.2058	1078.4385	400.7128	410.0206	483.0831	767.0498
C1orf86	308.9289	562.3051	511.9561	188.8811	403.4668	789.9419	382.7427	1461.0443	1751.1624	570.5376	914.9543	922.0458	402.8689	554.6667	310.1642	442.7575	653.3811	530.4698	608.3851	752.4397	339.5513	1326.4269	838.2687	466.4919	735.3836	423.7311	683.9258	627.3429	352.9519	861.2561	379.8473	343.8669	301.2688	538.6491	582.9989	546.8686	428.3734	600.2778	362.4598
C7orf28B	1462.8616	759.4278	515.6504	786.9536	838.8134	1475.9136	513.9181	751.1122	3164.0179	950.6354	1110.3133	463.4602	625.6259	596.2963	1040.6382	672.1601	1220.1466	1435.2824	976.8053	574.4528	935.5828	2160.8895	531.1973	1007.1111	956.4554	790.0883	301.3450	849.2857	1705.4804	614.0370	334.8227	328.5249	2381.9117	2806.8602	828.1649	1010.6925	508.1865	883.7105	461.3027
CAPN10	369.9062	420.5489	547.0778	727.8217	271.9800	251.9601	935.7061	424.2660	1593.4434	601.5103	1004.6540	845.7008	417.4669	402.3704	231.7072	335.1001	285.5632	325.0575	735.1189	232.2754	242.9453	434.2708	515.4581	297.0370	447.1056	498.4962	473.2824	255.1714	283.5321	580.6904	314.4845	617.0544	273.0390	165.6992	170.1204	146.2627	257.4622	162.2227	128.5134
CARM1	649.7263	703.0320	612.1029	664.2796	948.8921	956.8106	674.8031	730.5081	1773.7613	904.2033	1544.3864	1210.1898	1038.2916	674.0741	921.2576	922.3072	1096.1988	1066.4668	2551.1306	773.9914	1216.5818	758.6658	807.1951	1134.8148	686.4387	968.1003	863.6859	1291.4286	1205.9494	1328.0216	1226.4012	1079.5719	861.9803	1191.0290	1347.3185	973.0143	1153.5208	1046.8295	777.0115
CDK2AP1	2305.7076	1461.3647	2674.0861	1675.7267	2303.0736	2456.8106	1517.4653	4029.9696	1952.0100	997.5562	3101.8277	2900.3639	1806.7747	4562.0370	2462.3182	2758.9759	1212.7553	959.5202	1301.8235	2095.9344	2455.4995	4239.8082	2337.2681	2539.2593	2420.5072	1690.1168	1702.6536	2000.7143	1528.6078	3067.1097	2291.9518	1877.1522	2858.5512	2325.0660	5201.7512	1574.8473	1845.8041	1946.6726	2144.8276
CGGBP1	1517.5919	1921.2922	6727.8770	1600.3006	2913.1558	1890.3654	1646.3705	1832.8260	877.9474	2275.6598	1815.2742	2560.0472	1883.6524	1684.2593	2339.1835	2005.3090	1533.9961	1497.7511	1094.6754	1504.3337	2307.0743	2164.3776	1498.0326	1433.4815	1732.3152	2884.3663	1681.2177	1741.4286	1480.9058	1634.5275	1714.4008	2117.2638	2083.5834	1592.6280	2123.6848	1813.6456	1937.4484	1962.8053	1815.3257
CHCHD8	659.1087	364.3830	1011.2064	924.6552	1783.0593	1097.1761	628.6298	2444.3924	4550.1195	687.1945	1549.6084	1316.8093	1558.4683	1279.6296	552.9798	1377.2808	844.3233	976.5117	879.3581	877.6579	709.7028	2702.4199	1186.0596	1326.8148	1357.0971	680.1481	592.8753	1310.0000	605.6546	575.0831	633.9008	1348.5342	505.7865	1470.7124	778.1831	683.8086	548.8756	797.6697	746.3602
COQ9	888.9758	541.7836	752.7630	891.5332	863.8313	1093.8538	844.3456	1520.9553	976.8360	719.9413	968.0157	1208.2227	1048.3063	1801.8519	723.0408	520.6004	1280.4148	1172.4138	1315.8279	1004.7079	567.7622	1086.5489	1666.6667	2127.1111	1330.7968	629.7351	966.5576	1114.2857	737.5050	719.6227	795.6564	1744.0670	960.9944	737.2032	919.0077	1205.1935	709.0710	632.7582	822.2222
